session_code;id_in_session;participant_code;identifier;channel;opening;nickname;body;timestamp
ac7t8kf0;5;2;ac7t8kf05;2-bestpricechatlab-4;#N/A;Buyer;moin;1638730569
ac7t8kf0;8;2;ac7t8kf08;2-bestpricechatlab-4;#N/A;Seller;wer?;1638730573
fayuq490;14;4;fayuq49014;4-bestpricechatlab-15;#N/A;Seller;Hi I am offering a cellphone for 600 euros;1638806578
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;850;1638806589
fayuq490;10;4;fayuq49010;4-bestpricechatlab-11;#N/A;Buyer;300;1638806604
fayuq490;3;4;fayuq4903;4-bestpricechatlab-14;#N/A;Buyer;Hi, I would like to get it for 400;1638806605
fayuq490;8;4;fayuq4908;4-bestpricechatlab-15;#N/A;Buyer;Hi, I am super interested, but wanted to ask, whether you could offer me a lower price as well ;1638806612
fayuq490;17;4;fayuq49017;4-bestpricechatlab-20;#N/A;Buyer;Hello, I wanted to enquire about your enlisted item of a smartphone ;1638806623
fayuq490;8;4;fayuq4908;4-bestpricechatlab-15;#N/A;Buyer;as it is a bit much for a used phone ;1638806624
fayuq490;25;4;fayuq49025;4-bestpricechatlab-11;#N/A;Seller;Hi, it's not possible. What about 560?;1638806627
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;Hello;1638806629
fayuq490;14;4;fayuq49014;4-bestpricechatlab-15;#N/A;Seller;600 is a really good price. what is your budget ?;1638806636
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;would you agree on 850?;1638806636
fayuq490;8;4;fayuq4908;4-bestpricechatlab-15;#N/A;Buyer;I was thinking about 450���? ;1638806638
fayuq490;18;4;fayuq49018;4-bestpricechatlab-20;#N/A;Seller;Hi! I see you are interested in my old phone. It's still in excellent condition so I will be selling it for 580.;1638806639
fayuq490;22;4;fayuq49022;4-bestpricechatlab-17;#N/A;Seller;Hey I hear you are interested in the smartphone? What are you willing to pay? ;1638806640
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;Do you wamt this phone?;1638806641
fayuq490;10;4;fayuq49010;4-bestpricechatlab-11;#N/A;Buyer;why is it not possible;1638806643
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;far too high;1638806653
fayuq490;7;4;fayuq4907;4-bestpricechatlab-14;#N/A;Seller;I'm sorry, but I am looking forward to sell it for atleast 575;1638806654
fayuq490;14;4;fayuq49014;4-bestpricechatlab-15;#N/A;Seller;450 is too low for a phone that is well maintained;1638806655
fayuq490;1;4;fayuq4901;4-bestpricechatlab-8;#N/A;Buyer;Hello, I would like to buy this phone;1638806657
fayuq490;36;4;fayuq49036;4-bestpricechatlab-21;#N/A;Buyer;400;1638806657
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;I would like to sell it at 600 EUR actually;1638806659
fayuq490;25;4;fayuq49025;4-bestpricechatlab-11;#N/A;Seller;It's in a really good condition and this price is quite reasonable.;1638806661
